city,date,aqi
Buxar,14-02-2025 17:00:00,74.0
Chhapra,14-02-2025 17:00:00,55.0
Chhapra,14-02-2025 17:00:00,17.0
Gaya,14-02-2025 17:00:00,69.0
Gaya,14-02-2025 17:00:00,10.0
Gaya,14-02-2025 17:00:00,49.0
Gaya,14-02-2025 17:00:00,7.0
Rajamahendravaram,14-02-2025 17:00:00,59.0
Rajamahendravaram,14-02-2025 17:00:00,77.0
Rajamahendravaram,14-02-2025 17:00:00,3.0
Vijayawada,14-02-2025 17:00:00,9.0
Visakhapatnam,14-02-2025 17:00:00,11.0
Naharlagun,14-02-2025 17:00:00,53.0
Byrnihat,14-02-2025 17:00:00,67.0
Guwahati,14-02-2025 17:00:00,115.0
Silchar,14-02-2025 17:00:00,10.0
Sivasagar,14-02-2025 17:00:00,34.0
Araria,14-02-2025 17:00:00,61.0
Araria,14-02-2025 17:00:00,4.0
Arrah,14-02-2025 17:00:00,30.0
Anantapur,14-02-2025 17:00:00,12.0
Anantapur,14-02-2025 17:00:00,46.0
Chittoor,14-02-2025 17:00:00,4.0
Chittoor,14-02-2025 17:00:00,2.0
Kadapa,14-02-2025 17:00:00,81.0
Guwahati,14-02-2025 17:00:00,66.0
Guwahati,14-02-2025 17:00:00,28.0
Guwahati,14-02-2025 17:00:00,153.0
Guwahati,14-02-2025 17:00:00,158.0
Nagaon,14-02-2025 17:00:00,1.0
Arrah,14-02-2025 17:00:00,7.0
Arrah,14-02-2025 17:00:00,71.0
Aurangabad,14-02-2025 17:00:00,40.0
Bettiah,14-02-2025 17:00:00,63.0
Bhagalpur,14-02-2025 17:00:00,4.0
Bihar Sharif,14-02-2025 17:00:00,31.0
Vijayawada,14-02-2025 17:00:00,64.0
Manguraha,14-02-2025 17:00:00,7.0
Manguraha,14-02-2025 17:00:00,45.0
Motihari,14-02-2025 17:00:00,60.0
Motihari,14-02-2025 17:00:00,85.0
Motihari,14-02-2025 17:00:00,39.0
Motihari,14-02-2025 17:00:00,14.0
