date,city,temperature,aqi
2024-01-01,Mumbai,25.2,259
2024-01-01,Delhi,18.1,130
2024-01-01,Bengaluru,34.0,54
2024-01-01,Chennai,33.8,176
2024-01-01,Kolkata,22.5,97
2024-01-01,Hyderabad,38.0,140
2024-01-01,Ahmedabad,28.9,345
2024-01-01,Jaipur,37.0,75
2024-01-01,Lucknow,36.6,186
2024-01-01,Bhopal,21.3,73
2024-01-02,Mumbai,19.9,63
2024-01-02,Delhi,27.5,207
2024-01-02,Bengaluru,34.2,198
2024-01-02,Chennai,29.7,341
2024-01-02,Kolkata,40.5,126
2024-01-02,Hyderabad,39.5,265
2024-01-02,Ahmedabad,26.7,223
2024-01-02,Jaipur,36.0,82
2024-01-02,Lucknow,28.8,114
2024-01-02,Bhopal,19.9,281
2024-01-03,Mumbai,34.9,89
2024-01-03,Delhi,30.0,303
2024-01-03,Bengaluru,32.8,235
2024-01-03,Chennai,35.9,94
2024-01-03,Kolkata,36.5,304
2024-01-03,Hyderabad,26.5,70
2024-01-03,Ahmedabad,29.8,131
2024-01-03,Jaipur,34.6,286
2024-01-03,Lucknow,38.6,223
2024-01-03,Bhopal,22.9,66
2024-01-04,Mumbai,20.9,123
2024-01-04,Delhi,30.9,117
2024-01-04,Bengaluru,29.9,116
2024-01-04,Chennai,25.8,70
2024-01-04,Kolkata,30.0,234
2024-01-04,Hyderabad,28.3,218
2024-01-04,Ahmedabad,27.0,61
2024-01-04,Jaipur,24.4,127
2024-01-04,Lucknow,21.4,290
2024-01-04,Bhopal,40.2,273
2024-01-05,Mumbai,20.0,68
2024-01-05,Delhi,24.1,273
2024-01-05,Bengaluru,34.4,76
2024-01-05,Chennai,21.6,65
2024-01-05,Kolkata,19.3,65
2024-01-05,Hyderabad,35.3,76
2024-01-05,Ahmedabad,21.6,338
2024-01-05,Jaipur,17.9,202
2024-01-05,Lucknow,31.6,315
2024-01-05,Bhopal,28.5,345
2024-01-06,Mumbai,33.8,264
2024-01-06,Delhi,32.7,86
2024-01-06,Bengaluru,32.5,308
2024-01-06,Chennai,33.8,80
2024-01-06,Kolkata,38.6,279
2024-01-06,Hyderabad,28.6,232
2024-01-06,Ahmedabad,35.5,147
2024-01-06,Jaipur,28.9,120
2024-01-06,Lucknow,26.8,87
2024-01-06,Bhopal,22.1,52
2024-01-07,Mumbai,24.5,254
2024-01-07,Delhi,19.3,271
2024-01-07,Bengaluru,25.1,118
2024-01-07,Chennai,32.3,156
2024-01-07,Kolkata,21.3,194
2024-01-07,Hyderabad,21.6,216
2024-01-07,Ahmedabad,24.7,128
2024-01-07,Jaipur,21.5,308
2024-01-07,Lucknow,37.6,97
2024-01-07,Bhopal,26.8,189
2024-01-08,Mumbai,32.9,251
2024-01-08,Delhi,34.7,266
2024-01-08,Bengaluru,40.4,90
2024-01-08,Chennai,21.7,156
2024-01-08,Kolkata,30.2,233
2024-01-08,Hyderabad,20.1,284
2024-01-08,Ahmedabad,24.0,294
2024-01-08,Jaipur,20.5,238
2024-01-08,Lucknow,33.7,333
2024-01-08,Bhopal,22.6,325
2024-01-09,Mumbai,35.9,75
2024-01-09,Delhi,38.0,143
2024-01-09,Bengaluru,38.5,180
2024-01-09,Chennai,24.7,236
2024-01-09,Kolkata,19.4,224
2024-01-09,Hyderabad,20.1,60
2024-01-09,Ahmedabad,35.7,333
2024-01-09,Jaipur,28.6,108
2024-01-09,Lucknow,23.8,115
2024-01-09,Bhopal,32.7,66
2024-01-10,Mumbai,26.5,157
2024-01-10,Delhi,33.0,83
2024-01-10,Bengaluru,37.4,119
2024-01-10,Chennai,21.1,218
2024-01-10,Kolkata,25.2,225
2024-01-10,Hyderabad,31.2,268
2024-01-10,Ahmedabad,21.1,187
2024-01-10,Jaipur,31.1,225
2024-01-10,Lucknow,25.3,293
2024-01-10,Bhopal,35.0,178
2024-01-11,Mumbai,23.5,191
2024-01-11,Delhi,22.0,50
2024-01-11,Bengaluru,35.0,296
2024-01-11,Chennai,20.3,137
2024-01-11,Kolkata,29.3,46
2024-01-11,Hyderabad,37.3,234
2024-01-11,Ahmedabad,35.1,129
2024-01-11,Jaipur,27.3,334
2024-01-11,Lucknow,37.8,111
2024-01-11,Bhopal,38.1,148
2024-01-12,Mumbai,18.8,87
2024-01-12,Delhi,37.7,80
2024-01-12,Bengaluru,35.5,120
2024-01-12,Chennai,34.5,223
2024-01-12,Kolkata,37.3,308
2024-01-12,Hyderabad,32.5,49
2024-01-12,Ahmedabad,38.4,128
2024-01-12,Jaipur,29.9,207
2024-01-12,Lucknow,40.1,259
2024-01-12,Bhopal,20.9,80
2024-01-13,Mumbai,37.5,349
2024-01-13,Delhi,28.8,124
2024-01-13,Bengaluru,40.8,166
2024-01-13,Chennai,39.2,97
2024-01-13,Kolkata,36.0,231
2024-01-13,Hyderabad,36.0,220
2024-01-13,Ahmedabad,23.9,130
2024-01-13,Jaipur,32.1,194
2024-01-13,Lucknow,31.4,64
2024-01-13,Bhopal,29.8,259
2024-01-14,Mumbai,18.5,292
2024-01-14,Delhi,19.6,58
2024-01-14,Bengaluru,26.6,194
2024-01-14,Chennai,30.0,49
2024-01-14,Kolkata,25.3,52
2024-01-14,Hyderabad,36.9,223
2024-01-14,Ahmedabad,39.7,113
2024-01-14,Jaipur,41.0,223
2024-01-14,Lucknow,23.8,180
2024-01-14,Bhopal,26.9,259
2024-01-15,Mumbai,25.0,309
2024-01-15,Delhi,26.1,329
2024-01-15,Bengaluru,26.3,309
2024-01-15,Chennai,29.0,248
2024-01-15,Kolkata,41.4,251
2024-01-15,Hyderabad,29.4,244
2024-01-15,Ahmedabad,27.1,282
2024-01-15,Jaipur,30.1,175
2024-01-15,Lucknow,38.3,179
2024-01-15,Bhopal,25.4,307
2024-01-16,Mumbai,30.5,277
2024-01-16,Delhi,35.2,327
2024-01-16,Bengaluru,19.0,207
2024-01-16,Chennai,25.7,202
2024-01-16,Kolkata,36.1,236
2024-01-16,Hyderabad,38.5,319
2024-01-16,Ahmedabad,28.4,180
2024-01-16,Jaipur,33.4,209
2024-01-16,Lucknow,25.2,262
2024-01-16,Bhopal,31.4,317
2024-01-17,Mumbai,24.7,207
2024-01-17,Delhi,36.8,266
2024-01-17,Bengaluru,31.5,179
2024-01-17,Chennai,35.9,327
2024-01-17,Kolkata,29.1,259
2024-01-17,Hyderabad,21.7,178
2024-01-17,Ahmedabad,31.9,293
2024-01-17,Jaipur,25.7,255
2024-01-17,Lucknow,24.5,277
2024-01-17,Bhopal,23.5,210
2024-01-18,Mumbai,39.7,241
2024-01-18,Delhi,25.2,114
2024-01-18,Bengaluru,24.7,230
2024-01-18,Chennai,25.5,168
2024-01-18,Kolkata,35.4,82
2024-01-18,Hyderabad,32.1,209
2024-01-18,Ahmedabad,27.4,162
2024-01-18,Jaipur,27.8,300
2024-01-18,Lucknow,18.8,200
2024-01-18,Bhopal,21.8,43
2024-01-19,Mumbai,37.9,70
2024-01-19,Delhi,31.9,158
2024-01-19,Bengaluru,26.0,130
2024-01-19,Chennai,39.1,109
2024-01-19,Kolkata,27.8,240
2024-01-19,Hyderabad,24.1,265
2024-01-19,Ahmedabad,34.7,265
2024-01-19,Jaipur,37.8,215
2024-01-19,Lucknow,31.9,347
2024-01-19,Bhopal,22.5,282
2024-01-20,Mumbai,33.6,86
2024-01-20,Delhi,24.2,167
2024-01-20,Bengaluru,36.4,60
2024-01-20,Chennai,31.3,63
2024-01-20,Kolkata,22.0,174
2024-01-20,Hyderabad,23.2,283
2024-01-20,Ahmedabad,22.8,48
2024-01-20,Jaipur,18.8,300
2024-01-20,Lucknow,22.2,266
2024-01-20,Bhopal,37.0,127
2024-01-21,Mumbai,26.5,191
2024-01-21,Delhi,22.9,245
2024-01-21,Bengaluru,39.0,242
2024-01-21,Chennai,23.6,117
2024-01-21,Kolkata,36.7,65
2024-01-21,Hyderabad,29.2,209
2024-01-21,Ahmedabad,21.2,142
2024-01-21,Jaipur,35.0,279
2024-01-21,Lucknow,22.7,157
2024-01-21,Bhopal,33.2,162
2024-01-22,Mumbai,38.1,344
2024-01-22,Delhi,24.3,313
